 m log_g n_obs baseline sigma_obs threshold TP TP_std dt_yrs
105 0.8 3.0 20.0 3.0 0.1 0.9997 0.48800465 0.010742973 3.0
106 0.8 3.0 20.0 3.0 0.5 0.9997 0.3865217 0.013565086 3.0
107 0.8 3.0 20.0 3.0 1.0 0.9997 0.3371571 0.012642088 3.0
108 0.8 3.0 30.0 0.5 0.1 0.9997 0.37141553 0.013505757 0.5
109 0.8 3.0 30.0 0.5 0.5 0.9997 0.28482902 0.009031206 0.5
110 0.8 3.0 30.0 0.5 1.0 0.9997 0.25111294 0.010295735 0.5
111 0.8 3.0 30.0 1.0 0.1 0.9997 0.41941887 0.015475658 1.0
112 0.8 3.0 30.0 1.0 0.5 0.9997 0.32503772 0.0062395623 1.0
113 0.8 3.0 30.0 1.0 1.0 0.9997 0.29386804 0.005035805 1.0
114 0.8 3.0 30.0 2.0 0.1 0.9997 0.47081843 0.013977841 2.0
115 0.8 3.0 30.0 2.0 0.5 0.9997 0.3658558 0.01536974 2.0
116 0.8 3.0 30.0 2.0 1.0 0.9997 0.32872847 0.013632428 2.0
117 0.8 3.0 30.0 3.0 0.1 0.9997 0.49609986 0.015926246 3.0
118 0.8 3.0 30.0 3.0 0.5 0.9997 0.39889878 0.013987156 3.0
119 0.8 3.0 30.0 3.0 1.0 0.9997 0.35539493 0.012861244 3.0
120 0.8 4.0 3.0 0.5 0.1 0.9997 0.31408018 0.013697839 0.5
121 0.8 4.0 3.0 0.5 0.5 0.9997 0.22594956 0.009899417 0.5
122 0.8 4.0 3.0 0.5 1.0 0.9997 0.16857749 0.011862951 0.5
123 0.8 4.0 3.0 1.0 0.1 0.9997 0.35126027 0.014579405 1.0
124 0.8 4.0 3.0 1.0 0.5 0.9997 0.25021893 0.015859261 1.0
125 0.8 4.0 3.0 1.0 1.0 0.9997 0.19230026 0.016502276 1.0
126 0.8 4.0 3.0 2.0 0.1 0.9997 0.3878741 0.021122374 2.0
127 0.8 4.0 3.0 2.0 0.5 0.9997 0.2760392 0.016487634 2.0
128 0.8 4.0 3.0 2.0 1.0 0.9997 0.20160246 0.01106396 2.0
129 0.8 4.0 3.0 3.0 0.1 0.9997 0.41251054 0.018996753 3.0
130 0.8 4.0 3.0 3.0 0.5 0.9997 0.28445303 0.011856606 3.0
131 0.8 4.0 3.0 3.0 1.0 0.9997 0.20357494 0.011781737 3.0
132 0.8 4.0 5.0 0.5 0.1 0.9997 0.33160597 0.018641453 0.5
133 0.8 4.0 5.0 0.5 0.5 0.9997 0.2485499 0.01502797 0.5
134 0.8 4.0 5.0 0.5 1.0 0.9997 0.20374945 0.013320937 0.5
135 0.8 4.0 5.0 1.0 0.1 0.9997 0.37166008 0.01097168 1.0
136 0.8 4.0 5.0 1.0 0.5 0.9997 0.28250867 0.009308737 1.0
137 0.8 4.0 5.0 1.0 1.0 0.9997 0.2292594 0.011959729 1.0
138 0.8 4.0 5.0 2.0 0.1 0.9997 0.40667233 0.008579801 2.0
139 0.8 4.0 5.0 2.0 0.5 0.9997 0.3064339 0.01306961 2.0
140 0.8 4.0 5.0 2.0 1.0 0.9997 0.25259605 0.013415776 2.0
141 0.8 4.0 5.0 3.0 0.1 0.9997 0.43673602 0.010022898 3.0
142 0.8 4.0 5.0 3.0 0.5 0.9997 0.32981485 0.009935708 3.0
143 0.8 4.0 5.0 3.0 1.0 0.9997 0.26496115 0.01090584 3.0
144 0.8 4.0 10.0 0.5 0.1 0.9997 0.34822634 0.010584282 0.5
145 0.8 4.0 10.0 0.5 0.5 0.9997 0.26954514 0.013222236 0.5
146 0.8 4.0 10.0 0.5 1.0 0.9997 0.23333728 0.014271943 0.5
147 0.8 4.0 10.0 1.0 0.1 0.9997 0.39931318 0.012772735 1.0
148 0.8 4.0 10.0 1.0 0.5 0.9997 0.30770737 0.010027155 1.0
149 0.8 4.0 10.0 1.0 1.0 0.9997 0.2703484 0.007879293 1.0
150 0.8 4.0 10.0 2.0 0.1 0.9997 0.44008183 0.015780965 2.0
151 0.8 4.0 10.0 2.0 0.5 0.9997 0.34717855 0.011562841 2.0
152 0.8 4.0 10.0 2.0 1.0 0.9997 0.30011585 0.010988058 2.0
153 0.8 4.0 10.0 3.0 0.1 0.9997 0.46424127 0.01623672 3.0
154 0.8 4.0 10.0 3.0 0.5 0.9997 0.36880633 0.0152498195 3.0
155 0.8 4.0 10.0 3.0 1.0 0.9997 0.311376 0.016684057 3.0
156 0.8 4.0 20.0 0.5 0.1 0.9997 0.3683606 0.0162979 0.5
157 0.8 4.0 20.0 0.5 0.5 0.9997 0.28238449 0.016130906 0.5
158 0.8 4.0 20.0 0.5 1.0 0.9997 0.25360063 0.018195102 0.5
159 0.8 4.0 20.0 1.0 0.1 0.9997 0.40901142 0.015293422 1.0
160 0.8 4.0 20.0 1.0 0.5 0.9997 0.3269437 0.020010535 1.0
161 0.8 4.0 20.0 1.0 1.0 0.9997 0.2916887 0.019647548 1.0
162 0.8 4.0 20.0 2.0 0.1 0.9997 0.46376935 0.016004935 2.0
163 0.8 4.0 20.0 2.0 0.5 0.9997 0.36696747 0.014079851 2.0
164 0.8 4.0 20.0 2.0 1.0 0.9997 0.3240274 0.020554513 2.0
165 0.8 4.0 20.0 3.0 0.1 0.9997 0.49142432 0.014652997 3.0
166 0.8 4.0 20.0 3.0 0.5 0.9997 0.3902211 0.013753552 3.0
167 0.8 4.0 20.0 3.0 1.0 0.9997 0.35141513 0.013648263 3.0
168 0.8 4.0 30.0 0.5 0.1 0.9997 0.38449213 0.014715667 0.5
169 0.8 4.0 30.0 0.5 0.5 0.9997 0.3000434 0.013220202 0.5
170 0.8 4.0 30.0 0.5 1.0 0.9997 0.26747814 0.010607162 0.5
171 0.8 4.0 30.0 1.0 0.1 0.9997 0.42986146 0.013906761 1.0
172 0.8 4.0 30.0 1.0 0.5 0.9997 0.33957526 0.013296466 1.0
173 0.8 4.0 30.0 1.0 1.0 0.9997 0.30466297 0.009934115 1.0
174 0.8 4.0 30.0 2.0 0.1 0.9997 0.478124 0.016569743 2.0
175 0.8 4.0 30.0 2.0 0.5 0.9997 0.3846819 0.01181386 2.0
176 0.8 4.0 30.0 2.0 1.0 0.9997 0.3483944 0.011257524 2.0
177 0.8 4.0 30.0 3.0 0.1 0.9997 0.51013684 0.015845185 3.0
178 0.8 4.0 30.0 3.0 0.5 0.9997 0.41106263 0.017093658 3.0
179 0.8 4.0 30.0 3.0 1.0 0.9997 0.36006317 0.019660521 3.0
